value	coverage	in_any_table	first_line	context
97.8	step127	yes	631	Agreement was 97.8% on each criterion with one disagreement each; Cohen's κ was
89.87	NOT AUDITED	yes	149	16:88.86–89.73 Mb and 16:89.87 Mb fall within 1 Mb of an identical set of seven
89.73	NOT AUDITED	yes	149	16:88.86–89.73 Mb and 16:89.87 Mb fall within 1 Mb of an identical set of seven
88.86	NOT AUDITED	yes	149	16:88.86–89.73 Mb and 16:89.87 Mb fall within 1 Mb of an identical set of seven
86.9	NOT AUDITED	yes	513	distinct causal variants, HEIDI failed to reject homogeneity for 253 (86.9%),
85.8	step127	yes	474	power, 85.8% versus 22.8%. Reaching 50% recovery requires 2,506 cases for
71.7	step127	yes	654	independently under rules fixed before any paper was read. Agreement was 71.7%
67.6	step127	yes	276	attribution does not move: **23 of 34 significant loci (67.6%) carry a known
63.0	NOT AUDITED	yes	485	+6.4 [+0.9, +12.0] by gene, against raw gaps of 47.6 and 63.0. Only one known
47.6	NOT AUDITED	yes	485	+6.4 [+0.9, +12.0] by gene, against raw gaps of 47.6 and 63.0. Only one known
46.0	step127	yes	472	apparent stability: at 10% of observed power, 46.0% of known pigmentation and
45.6	NOT AUDITED	yes	508	sets in the region (log₁₀BF 45.6, 36.6, 19.5), so it genuinely carries multiple
44.1	NOT AUDITED	yes	436	44.1% improving. Three explanations were tested and rejected, including
37.8	NOT AUDITED	yes	665	12.5–36.3%)**, or at most 37.8% if every mixed pipeline is counted as partly
36.6	NOT AUDITED	yes	508	sets in the region (log₁₀BF 45.6, 36.6, 19.5), so it genuinely carries multiple
36.3	step127	yes	29	Wilson 95% CI 12.5–36.3%) used the exact single-variant Wald design.
36.1	NOT AUDITED	yes	1026	The minimum F statistic was 36.1 in either strict set and 22.2 across the
35.5	NOT AUDITED	yes	619	Those are corrected figures. Automated matching returned 7.9% and 35.5%; **two
30.8	NOT AUDITED	yes	1117	whole-blood resource it chains a chromosome arm into a single 30.8 Mb "locus" of
30.3	NOT AUDITED	yes	260	HCC study carries 30.3% of melanoma's effective sample size, so we down-sampled
25.0	NOT AUDITED	yes	1367	TwoSampleMR 0.7.5, susieR 0.14.2, arrow 25.0.0, hdf5r 1.3.12, TFBSTools 1.42.0,
22.8	step127	yes	474	power, 85.8% versus 22.8%. Reaching 50% recovery requires 2,506 cases for
22.2	step127	yes	28	replaced the list entirely. Among 45 ascertainable papers in a two-coder subsample of 46, 10 (22.2%;
21.3	NOT AUDITED	yes	589	axis the gene marks is enriched 21.3-fold for glycolysis and is not specific to
19.5	NOT AUDITED	yes	508	sets in the region (log₁₀BF 45.6, 36.6, 19.5), so it genuinely carries multiple
16.1	NOT AUDITED	yes	613	its own outcome trait (0% [0–3.4]), and an estimated 7.1% [2.5–16.1] report how
15.99	step127	yes	481	3.73 and 4.55, while known-locus candidates reach 15.99 (medians 4.23 and 11.07) —
15.5	NOT AUDITED	yes	239	the chr19 *TM6SF2* region at both levels. Enrichment is 15.5-fold in the
12.85	step127	yes	420	6.14-fold on whole blood, 8.24-fold for HCC-high on whole blood, 12.85- and
12.5	step127	yes	29	Wilson 95% CI 12.5–36.3%) used the exact single-variant Wald design.
12.09	step127	yes	421	12.09-fold for the two HCC-low cells, and **4.52-fold for RA on CD4⁺ T cells**.
12.0	NOT AUDITED	yes	484	residual is **+5.2 percentage points [−1.6, +12.0] by bounded locus** and
11.07	step127	yes	481	3.73 and 4.55, while known-locus candidates reach 15.99 (medians 4.23 and 11.07) —
10.87	step127	yes	401	| HCC-high × whole blood | 10.87 | 0.0015 |
10.7	step127	yes	278	10.7% background (P = 1.3×10⁻¹⁵)**, against 4.96-fold in CD4⁺ T cells. A
10.2	NOT AUDITED	yes	466	observed lower-power round, which it reproduces (10.2 simulated versus 10 real
10.1	NOT AUDITED	yes	131	enrichment over the 10.1% background (one-sided P = 0.0048; Fig. 1). The same
10.0	NOT AUDITED	yes	223	locus attribution is 10.0-fold (P = 9.1×10⁻⁵), all four significant loci known. The stability is not an artefact of
9.92	NOT AUDITED	yes	181	melanoma to 0.403 for prostate — ceilings of 9.92 and 2.48. Matching the
9.3	NOT AUDITED	yes	457	from 9.3×10⁻⁴ to 0.11 — and six different genes took their place. **The two lists
9.1	NOT AUDITED	yes	223	locus attribution is 10.0-fold (P = 9.1×10⁻⁵), all four significant loci known. The stability is not an artefact of
8.24	step127	yes	420	6.14-fold on whole blood, 8.24-fold for HCC-high on whole blood, 12.85- and
7.9	NOT AUDITED	yes	240	lower-powered outcome (P = 0.0041) and 7.9-fold in the higher-powered one, where
7.88	step127	yes	400	| HCC-high × CD4⁺ | 7.88 | 0.123 |
7.30	NOT AUDITED	yes	340	(3.91- to 7.30-fold), the direction every other cell moves in. It is the control
7.1	NOT AUDITED	yes	613	its own outcome trait (0% [0–3.4]), and an estimated 7.1% [2.5–16.1] report how
6.66	step127	yes	416	gives 6.66-fold (empirical P = 0.0016) for melanoma on CD4⁺ T cells. Matching on
6.55	NOT AUDITED	yes	280	locus of the same eQTL-p decile and allele-frequency quintile (6.55-fold,
6.4	NOT AUDITED	yes	485	+6.4 [+0.9, +12.0] by gene, against raw gaps of 47.6 and 63.0. Only one known
6.31	step127	yes	277	melanoma, naevus or pigmentation lead SNP, 6.31-fold over this resource's own
6.14	step127	yes	420	6.14-fold on whole blood, 8.24-fold for HCC-high on whole blood, 12.85- and
